Head x, Head y, Head z, Spine x, Spine y, Spine z, Left Shoulder x, Left Shoulder y, Left Shoulder z, Right Shoulder x, Right Shoulder y, Right Shoulder z, Hips x, Hips y, Hips z, Left Leg x, Right Leg x, Left Leg y, Right Leg y, Left Leg z, Right Leg z
19.39091,10.05935,30.2282,19.37855,9.37859,30.25617,19.54496,9.828341,30.16782,19.42775,9.837093,30.30365,19.38283,9.225999,30.26127,18.97442,8.610702,30.13229,19.54496,8.476831,30.16782
18.85697,10.06054,30.18395,18.82301,9.379171,30.21716,18.89498,9.82666,30.12984,18.88444,9.837047,30.26607,18.82847,9.22654,30.21863,18.52446,8.543376,30.10274,18.89498,8.464533,30.12984
18.3473,10.11389,30.19572,18.34125,9.432745,30.20377,18.0384,9.886528,30.13293,18.39401,9.888966,30.27,18.34821,9.280169,30.20311,18.4372,8.517139,30.08244,18.0384,8.598946,30.13293
17.83732,10.01787,30.23561,17.82132,9.334433,30.2223,17.42283,9.79159,30.16675,17.87478,9.786889,30.30378,17.83087,9.181998,30.22324,18.03989,8.437879,30.07053,17.42283,8.565063,30.16675
17.33727,10.10712,30.2471,17.30881,9.424011,30.25153,17.16203,9.878004,30.18311,17.36606,9.877786,30.31984,17.31334,9.271479,30.25797,17.10029,8.552238,30.06465,17.16203,8.532368,30.18311
16.83054,10.07775,30.23039,16.81924,9.397126,30.25609,16.95447,9.847569,30.17003,16.86903,9.855143,30.30606,16.82335,9.244538,30.26142,16.43751,8.612348,30.12634,16.95447,8.490238,30.17003
16.29674,10.0395,30.1869,16.26041,9.358108,30.22081,16.40944,9.804867,30.13252,16.32119,9.816294,30.26842,16.26665,9.205506,30.22228,15.91469,8.551588,30.10219,16.40944,8.451322,30.13252
15.78074,10.10527,30.18478,15.76965,9.424261,30.19983,15.4938,9.876763,30.12335,15.82541,9.880841,30.26038,15.77609,9.271665,30.20092,15.81057,8.505054,30.08374,15.4938,8.578354,30.12335
15.28024,9.981087,30.22777,15.27229,9.297987,30.2131,14.86687,9.755517,30.15964,15.32221,9.750933,30.29667,15.28102,9.145508,30.21156,15.5139,8.409132,30.07054,14.86687,8.530907,30.15964
14.77823,10.0254,30.24517,14.74896,9.341785,30.24315,14.5382,9.796679,30.17711,14.80599,9.794849,30.31394,14.75416,9.18931,30.25039,14.6155,8.446285,30.05577,14.5382,8.470466,30.17711
14.2585,9.895336,30.22869,14.24514,9.214433,30.25258,14.34482,9.665418,30.16868,14.29639,9.671844,30.30489,14.24893,9.061852,30.25834,13.88848,8.411987,30.11389,14.34482,8.303503,30.16868
13.71383,9.603964,30.18861,13.67787,8.922769,30.22288,13.87891,9.369175,30.13325,13.73777,9.381134,30.26885,13.6841,8.770172,30.22483,13.30686,8.132912,30.10203,13.87891,8.026453,30.13325
