Head x, Head y, Head z, Spine x, Spine y, Spine z, Left Shoulder x, Left Shoulder y, Left Shoulder z, Right Shoulder x, Right Shoulder y, Right Shoulder z, Hips x, Hips y, Hips z, Left Leg x, Right Leg x, Left Leg y, Right Leg y, Left Leg z, Right Leg z
19.37409,10.01822,30.23351,19.36173,9.337467,30.26148,19.52814,9.787217,30.17313,19.41093,9.795971,30.30896,19.36601,9.184875,30.26658,18.9576,8.569578,30.1376,19.52814,8.435709,30.17313
18.84015,10.01941,30.18925,18.80619,9.338049,30.22247,18.87816,9.785538,30.13514,18.86761,9.795924,30.27138,18.81165,9.185417,30.22393,18.50764,8.502254,30.10805,18.87816,8.42341,30.13514
18.33048,10.07277,30.20103,18.32443,9.391623,30.20907,18.02158,9.845406,30.13824,18.37719,9.847843,30.27531,18.33139,9.239046,30.20842,18.42038,8.476017,30.08775,18.02158,8.557823,30.13824
17.86846,9.93952,30.24043,17.84385,9.255692,30.21603,17.71168,9.713106,30.17099,17.89036,9.706166,30.30728,17.85513,9.103401,30.21899,18.13873,8.376602,30.07052,17.71168,8.341173,30.17099
17.36653,10.05058,30.25155,17.31303,9.369244,30.25603,17.25389,9.820475,30.18755,17.38676,9.820273,30.3241,17.31058,9.216774,30.26471,17.13273,8.481086,30.06824,17.25389,8.457944,30.18755
16.85586,10.00338,30.22793,16.84802,9.322798,30.26002,17.05209,9.77329,30.17497,16.88754,9.781448,30.30855,16.85336,9.170445,30.26943,16.47802,8.541684,30.11773,17.05209,8.429635,30.17497
16.33685,9.941557,30.19906,16.28624,9.26043,30.23257,16.50284,9.705481,30.14727,16.35016,9.718068,30.28237,16.2926,9.107829,30.23348,15.91737,8.472206,30.11197,16.50284,8.365263,30.14727
15.81976,10.08491,30.17778,15.79669,9.405188,30.20009,15.51081,9.856242,30.11571,15.86323,9.860039,30.25275,15.79809,9.252611,30.20692,15.84529,8.478848,30.09505,15.51081,8.544977,30.11571
15.31544,9.864233,30.24865,15.3156,9.182828,30.21482,14.83901,9.641058,30.17665,15.36334,9.634083,30.31358,15.32321,9.030524,30.20622,15.56813,8.304793,30.0463,14.83901,8.478152,30.17665
14.80259,9.95726,30.24738,14.77517,9.273199,30.25025,14.59906,9.72827,30.17846,14.83118,9.726612,30.31549,14.7828,9.120915,30.25919,14.6655,8.367042,30.07308,14.59906,8.39289,30.17846
14.29265,9.853682,30.23387,14.27573,9.173545,30.26193,14.36333,9.623678,30.17406,14.33158,9.63047,30.31038,14.27721,9.020986,30.26913,13.90562,8.372484,30.12394,14.36333,8.26327,30.17406
13.7483,9.368259,30.19608,13.69737,8.688631,30.24097,13.95432,9.132277,30.1465,13.76179,9.145966,30.28016,13.70034,8.536103,30.24836,13.31443,7.903378,30.11527,13.95432,7.823641,30.1465
13.21131,8.976391,30.17484,13.17315,8.29726,30.19629,13.0097,8.745721,30.12037,13.24332,8.752088,30.25666,13.17155,8.144591,30.20053,13.13734,7.379463,30.07522,13.0097,7.390326,30.12037
12.68847,8.751634,30.2323,12.6895,8.070962,30.19918,12.2376,8.528074,30.1619,12.73927,8.522778,30.29887,12.69535,7.918776,30.18762,12.88399,7.181951,30.01945,12.2376,7.335532,30.1619
12.16224,8.472008,30.24028,12.12493,7.787761,30.23738,11.91381,8.242766,30.1696,12.18623,8.240038,30.30667,12.13238,7.635398,30.24504,12.15209,6.863616,30.06039,11.91381,6.922615,30.1696
11.66094,8.716566,30.23043,11.63268,8.036011,30.25719,11.66933,8.485746,30.1671,11.70012,8.491551,30.30408,11.63311,7.883428,30.26401,11.31023,7.191369,30.11742,11.66933,7.125892,30.1671
11.12642,8.836215,30.19966,11.09294,8.155704,30.24051,11.3307,8.60183,30.14938,11.14672,8.614305,30.28272,11.09678,8.003119,30.2461,10.66608,7.407234,30.11586,11.3307,7.28127,30.14938
