Head x, Head y, Head z, Spine x, Spine y, Spine z, Left Shoulder x, Left Shoulder y, Left Shoulder z, Right Shoulder x, Right Shoulder y, Right Shoulder z, Hips x, Hips y, Hips z, Left Leg x, Right Leg x, Left Leg y, Right Leg y, Left Leg z, Right Leg z
19.9094,9.98599,30.21884,19.86106,9.305356,30.24917,19.96732,9.75603,30.16778,19.93741,9.758867,30.30469,19.86217,9.155866,30.26289,19.53445,8.48718,30.11841,19.96732,8.412624,30.16778
19.78156,9.936791,30.295,19.6492,9.266188,30.28787,19.7536,9.703308,30.22364,19.77536,9.706015,30.3601,19.65288,9.109616,30.27775,19.29553,8.46642,30.10888,19.7536,8.337525,30.22364
19.4692,10.04781,30.39161,19.47569,9.368635,30.32354,19.29717,9.83005,30.30097,19.5204,9.81555,30.4369,19.48626,9.217873,30.31709,19.42979,8.482279,30.13137,19.29717,8.476136,30.30097
19.3046,9.969037,30.4078,19.10501,9.315172,30.35178,18.50711,9.743835,30.32014,19.27404,9.733479,30.4568,19.0772,9.158127,30.33862,19.13792,8.410958,30.11835,18.50711,8.686749,30.32014
18.70741,9.762641,30.35937,18.55058,9.100286,30.32937,18.04493,9.534556,30.29383,18.68181,9.533352,30.42844,18.54443,8.946246,30.351,18.52716,8.164657,30.19974,18.04493,8.469288,30.29383
18.17174,10.07638,30.21476,18.0905,9.414228,30.37333,18.02833,9.835545,30.20255,18.18886,9.865358,30.33604,18.08448,9.261355,30.39005,17.84497,8.52736,30.34405,18.02833,8.503464,30.20255
17.58346,10.05028,30.38078,17.53658,9.373048,30.45807,17.96345,9.814646,30.34063,17.6123,9.82966,30.47691,17.5463,9.220361,30.46228,16.96825,8.795544,30.30116,17.96345,8.576671,30.34063
16.98482,9.958541,30.63741,16.95604,9.291051,30.52204,16.65308,9.747971,30.54226,17.01685,9.723495,30.67656,16.95528,9.137549,30.51236,16.73647,8.469446,30.31793,16.65308,8.439412,30.54226
16.30452,9.980525,30.6646,16.22767,9.302014,30.60864,15.69397,9.754068,30.57852,16.31206,9.744954,30.71479,16.2241,9.147227,30.59746,16.4761,8.416419,30.41612,15.69397,8.640844,30.57852
15.37846,9.748412,30.60752,15.37846,9.068876,30.6573,15.00881,9.519728,30.56234,15.41964,9.528383,30.69901,15.38908,8.919853,30.68008,15.46132,8.138441,30.53528,15.00881,8.328783,30.56234
14.60878,9.831815,30.57501,14.52488,9.165298,30.70719,14.70257,9.593262,30.55584,14.61986,9.618384,30.6906,14.54031,9.017113,30.7199,14.43631,8.253256,30.62085,14.70257,8.265172,30.55584
13.60622,9.711683,30.72533,13.75778,9.046857,30.76413,14.2309,9.498564,30.67314,13.69969,9.504163,30.80973,13.79069,8.901513,30.76553,13.39681,8.282877,30.6139,14.2309,8.263819,30.67314
13.02534,9.36095,30.88762,12.92438,8.686798,30.82539,12.71004,9.135786,30.7975,13.03372,9.123627,30.93406,12.91541,8.531295,30.82161,12.64979,7.826449,30.66678,12.71004,7.788023,30.7975
11.9326,8.569163,30.88061,11.74395,7.910702,30.8749,11.19657,8.339093,30.81317,11.90377,8.338926,30.95017,11.73057,7.755574,30.86522,11.99535,7.035344,30.66856,11.19657,7.250238,30.81317
10.35666,7.921398,30.94369,10.56006,7.273832,30.88387,10.2605,7.728672,30.86219,10.46535,7.712674,30.99802,10.59705,7.130938,30.89718,10.86995,6.396807,30.68978,10.2605,6.494046,30.86219
9.366025,7.48216,30.81991,9.32103,6.808124,30.91416,9.693898,7.247736,30.78532,9.398524,7.264774,30.92108,9.336893,6.66014,30.92202,8.890219,6.076748,30.79698,9.693898,5.973632,30.78532
8.060271,7.247927,30.88351,8.195395,6.580426,30.92985,8.536235,7.032436,30.83703,8.141517,7.038451,30.97337,8.23552,6.439056,30.93204,8.219229,5.67472,30.79812,8.536235,5.72175,30.83703
6.795019,6.970645,31.0088,7.075668,6.350771,30.94447,7.375986,6.791741,30.92426,6.927882,6.774307,31.06005,7.139977,6.22209,30.94491,7.513937,5.54666,30.81334,7.375986,5.487649,30.92426
5.688962,6.677632,31.00898,6.073469,6.110365,30.97921,6.643501,6.511419,30.92479,5.858143,6.512163,31.06153,6.158316,5.996905,30.97159,6.575808,5.354291,30.81873,6.643501,5.352798,30.92479
4.874495,6.463471,30.90882,5.259893,5.903408,30.9774,5.786442,6.298178,30.86483,5.036815,6.308685,31.00127,5.340557,5.788242,30.98931,5.669138,5.098742,30.80471,5.786442,5.145077,30.86483
4.289536,6.37192,30.87657,4.763578,5.879438,30.93332,5.482179,6.239709,30.83304,4.469702,6.23578,30.96855,4.863863,5.780825,30.94438,5.380308,5.184306,30.77947,5.482179,5.269469,30.83304
4.181375,6.491654,30.96954,4.639183,5.98293,30.94319,5.32935,6.360523,30.89906,4.363777,6.343974,31.03474,4.729113,5.875659,30.94223,5.243369,5.254124,30.75953,5.32935,5.36088,30.89906
4.55232,6.7686,31.05963,4.767055,6.120889,31.01225,5.094911,6.57125,30.97614,4.666512,6.561732,31.11291,4.824309,5.989436,31.00742,5.1377,5.274725,30.83495,5.094911,5.255545,30.97614
4.861803,6.863791,31.01941,5.022671,6.200146,31.03624,5.200997,6.652544,30.95921,4.956341,6.654658,31.09626,5.070978,6.063195,31.0317,5.310683,5.33875,30.84836,5.200997,5.302054,30.95921
5.138966,7.004825,31.04542,5.268103,6.33551,31.01066,5.238445,6.795157,30.96787,5.222301,6.786814,31.10452,5.305393,6.193323,31.01859,5.483105,5.4417,30.83277,5.238445,5.452207,30.96787
5.474454,7.302067,30.94144,5.515705,6.620083,30.97466,5.612275,7.074642,30.88723,5.527069,7.080532,31.02406,5.538209,6.472887,30.98492,5.383535,5.727226,30.81565,5.612275,5.715949,30.88723
5.731952,7.442004,30.87927,5.622066,6.771212,30.9414,5.7504,7.205834,30.83488,5.736916,7.218985,30.97127,5.615849,6.616631,30.95138,5.151387,6.042277,30.82298,5.7504,5.878704,30.83488
5.683749,7.45103,30.88928,5.515715,6.790266,30.93462,5.554073,7.216776,30.84064,5.667208,7.225928,30.97742,5.506815,6.634763,30.93784,5.001146,6.113649,30.81718,5.554073,5.868126,30.84064
5.452275,7.456419,30.96201,5.34392,6.784298,30.9088,5.013137,7.231332,30.87514,5.459165,7.22097,31.01185,5.329645,6.628765,30.90283,5.092496,5.919374,30.77434,5.013137,5.930777,30.87514
5.139551,7.409065,30.92287,5.078809,6.729391,30.88819,4.80264,7.182011,30.84396,5.159491,7.176056,30.98073,5.081173,6.574327,30.89243,4.864604,5.852596,30.73956,4.80264,5.879843,30.84396
4.695297,7.247021,30.81069,4.648485,6.567493,30.87251,4.507284,7.012705,30.76758,4.717027,7.024534,30.9041,4.659743,6.418461,30.88739,4.663706,5.645846,30.71639,4.507284,5.695868,30.76758
4.202551,7.035966,30.7428,4.194083,6.363577,30.85622,4.356481,6.803077,30.72017,4.238632,6.82466,30.85524,4.206865,6.214882,30.87191,3.95445,5.50754,30.76057,4.356481,5.483617,30.72017
3.685226,6.945129,30.88058,3.685141,6.262348,30.87126,3.936285,6.719706,30.81414,3.722166,6.717175,30.95091,3.712177,6.115761,30.86921,3.56535,5.388103,30.74029,3.936285,5.369538,30.81414
2.981262,6.864885,30.96912,3.219154,6.23116,30.87943,3.301739,6.679558,30.87104,3.104664,6.661523,31.00695,3.267254,6.094072,30.87505,3.583897,5.391402,30.74627,3.301739,5.322493,30.87104
2.535324,6.813973,30.87477,2.811453,6.189091,30.88237,3.051445,6.624711,30.81016,2.666983,6.624418,30.9472,2.876186,6.060617,30.884,3.222502,5.371369,30.7317,3.051445,5.302952,30.81016
2.179058,6.772522,30.80236,2.493656,6.168313,30.8462,2.985807,6.590878,30.75134,2.322277,6.596627,30.88814,2.560928,6.043308,30.85781,2.695477,5.282525,30.70355,2.985807,5.388439,30.75134
1.959045,6.807672,30.77028,2.284012,6.20641,30.81003,2.8039,6.626056,30.71827,2.099415,6.628897,30.85488,2.355995,6.084402,30.81829,2.728081,5.382034,30.70779,2.8039,5.446403,30.71827
1.991562,6.82782,30.80791,2.210964,6.180813,30.81008,2.685938,6.629324,30.74719,2.099096,6.62431,30.88342,2.27104,6.050212,30.81035,2.480968,5.295192,30.68659,2.685938,5.386664,30.74719
2.008221,6.834424,30.85479,2.213755,6.183194,30.83669,2.372812,6.632399,30.77991,2.11866,6.629399,30.91695,2.267052,6.049564,30.83798,2.670559,5.382779,30.71317,2.372812,5.286233,30.77991
2.013596,6.893119,30.82152,2.258371,6.256816,30.8375,2.39576,6.698656,30.76097,2.137348,6.699849,30.89799,2.312817,6.122389,30.83931,2.569572,5.410099,30.6993,2.39576,5.359447,30.76097
2.184671,7.017436,30.77165,2.296852,6.345505,30.80983,2.426706,6.799177,30.7201,2.261225,6.80497,30.8568,2.332872,6.20446,30.82514,2.35153,5.436145,30.66253,2.426706,5.456826,30.7201
2.262512,7.129879,30.73726,2.309803,6.450366,30.78988,2.556776,6.902605,30.69013,2.316429,6.912072,30.82685,2.339584,6.306972,30.80012,2.335968,5.544562,30.66841,2.556776,5.572297,30.69013
2.203293,7.207457,30.78297,2.299185,6.531934,30.80853,2.689785,6.98832,30.73025,2.271175,6.990671,30.86649,2.337931,6.389827,30.80793,2.243086,5.644591,30.67274,2.689785,5.691953,30.73025
2.189201,7.322117,30.8935,2.342251,6.660202,30.83077,2.354151,7.118625,30.80337,2.287306,7.107037,30.93987,2.377035,6.517378,30.82705,2.482115,5.777197,30.69136,2.354151,5.748479,30.80337
2.31041,7.39816,30.81603,2.349644,6.717215,30.83954,2.19936,7.172716,30.75755,2.366291,7.176865,30.89456,2.375216,6.569851,30.83909,2.499535,5.814981,30.68698,2.19936,5.84009,30.75755
2.314074,7.387204,30.78504,2.34931,6.705919,30.82276,2.217205,7.159968,30.7343,2.362204,7.166476,30.87076,2.371204,6.559583,30.83758,2.485678,5.791823,30.68369,2.217205,5.82762,30.7343
2.386763,7.341173,30.75098,2.363243,6.660837,30.8075,2.490299,7.108855,30.70519,2.422205,7.11901,30.84192,2.374201,6.511279,30.81731,2.120356,5.804288,30.6656,2.490299,5.756589,30.70519
2.311436,7.266113,30.80761,2.343782,6.584486,30.82362,2.660509,7.040879,30.74936,2.360676,7.043185,30.88601,2.369774,6.436761,30.8199,2.115425,5.748186,30.66664,2.660509,5.712068,30.74936
2.268284,7.25597,30.8915,2.357985,6.583338,30.82605,2.3526,7.045802,30.8033,2.344294,7.032195,30.93973,2.380646,6.436139,30.82405,2.29187,5.704195,30.67332,2.3526,5.668889,30.8033
2.444365,7.229341,30.82188,2.323097,6.556714,30.83473,2.066534,6.997803,30.7597,2.442207,7.000048,30.89679,2.329681,6.40505,30.8329,2.408464,5.642706,30.66766,2.066534,5.707466,30.7597
2.268448,7.199257,30.79084,2.333649,6.520861,30.81699,2.067581,6.977015,30.73656,2.327942,6.980644,30.87312,2.356487,6.374684,30.83497,2.542614,5.614314,30.68887,2.067581,5.714261,30.73656
19.91548,9.977953,30.25149,19.87216,9.297638,30.25385,19.94031,9.747383,30.17273,19.9508,9.750708,30.30976,19.87791,9.1451,30.25141,19.52324,8.48123,30.12135,19.94031,8.425491,30.17273
19.73552,9.773955,30.18445,19.48584,9.14165,30.28129,19.57067,9.542803,30.16051,19.67611,9.563751,30.2958,19.45898,8.988185,30.2875,18.94005,8.478922,30.18614,19.57067,8.218185,30.16051
19.34265,10.00427,30.34554,19.13153,9.357185,30.26843,18.89718,9.787458,30.23992,19.31858,9.76751,30.37439,19.11657,9.201447,30.25574,18.92203,8.478272,30.13835,18.89718,8.465969,30.23992
18.683,10.04529,30.35002,18.68969,9.368205,30.26031,18.12626,9.828567,30.25827,18.72456,9.810598,30.39318,18.69885,9.21399,30.25648,19.04965,8.524221,30.07665,18.12626,8.767801,30.25827
18.18285,9.900827,30.17745,18.18824,9.223809,30.24802,17.80301,9.670371,30.13621,18.21696,9.6856,30.27053,18.19605,9.073837,30.25925,18.1095,8.310089,30.07836,17.80301,8.484585,30.13621
17.88186,10.00962,30.10208,17.63088,9.381019,30.21442,17.60774,9.777127,30.07086,17.84335,9.792557,30.20563,17.6048,9.22478,30.22758,17.09836,8.673751,30.17888,17.60774,8.459665,30.07086
17.02164,9.932714,30.19904,16.88288,9.262466,30.23722,17.19372,9.697841,30.14653,17.00954,9.705648,30.28338,16.87541,9.108809,30.23878,16.37893,8.570299,30.07601,17.19372,8.398045,30.14653
16.14629,9.99604,30.38799,16.12877,9.325733,30.2603,15.94646,9.784698,30.2734,16.18012,9.761706,30.40819,16.13405,9.175416,30.24043,16.05017,8.449715,30.02626,15.94646,8.426617,30.2734
15.34863,9.998826,30.33214,15.30104,9.318331,30.28981,14.74067,9.772876,30.25545,15.37402,9.764226,30.39196,15.30516,9.162686,30.28664,15.58731,8.443945,30.14476,14.74067,8.704128,30.25545
14.41607,9.751625,30.26057,14.31993,9.077127,30.31644,14.00338,9.514874,30.21344,14.41998,9.528217,30.34944,14.31723,8.924916,30.33077,14.21842,8.159555,30.18557,14.00338,8.262405,30.21344
13.27997,9.340147,30.24682,13.22062,8.663643,30.3268,13.43896,9.103396,30.20462,13.30292,9.11929,30.34076,13.22964,8.513446,30.34031,12.91958,7.825471,30.21196,13.43896,7.786198,30.20462
11.9296,8.713296,30.28758,12.01752,8.038764,30.36306,12.51703,8.487555,30.24905,11.99445,8.500893,30.38515,12.04176,7.892106,30.36913,11.67467,7.254937,30.24993,12.51703,7.282727,30.24905
10.71242,8.057227,30.45306,10.76168,7.3777,30.39995,10.60091,7.839448,30.36489,10.77185,7.82952,30.50162,10.7875,7.231563,30.39477,11.00319,6.486083,30.24766,10.60091,6.49366,30.36489
9.206597,7.282928,30.46767,9.450618,6.647033,30.43007,9.325164,7.09192,30.38425,9.32755,7.084237,30.52112,9.505597,6.513846,30.4242,10.00196,5.905651,30.26109,9.325164,5.804726,30.38425
8.104751,6.927041,30.39578,8.292142,6.270822,30.44464,8.698592,6.715903,30.34458,8.205309,6.724364,30.48127,8.344564,6.137088,30.45702,8.535988,5.373242,30.3036,8.698592,5.446263,30.34458
6.79398,6.403984,30.36363,7.375059,6.04252,30.45147,8.124482,6.315866,30.32703,7.011095,6.32884,30.46305,7.494642,5.963848,30.46329,8.158968,5.478079,30.32188,8.124482,5.524885,30.32703
6.265773,6.365471,30.45112,6.842655,5.994502,30.48353,7.523161,6.292055,30.41161,6.472673,6.266505,30.54445,6.946605,5.900928,30.48526,7.535872,5.371701,30.28023,7.523161,5.394547,30.41161
6.447594,6.780359,30.72552,6.506359,6.115141,30.56614,6.59899,6.57728,30.59775,6.511259,6.547857,30.73142,6.544394,5.975448,30.54961,6.840099,5.262498,30.28098,6.59899,5.205223,30.59775
6.109434,6.857016,30.52467,6.32679,6.209845,30.58035,6.595085,6.649937,30.47753,6.220768,6.659505,30.61423,6.38189,6.074833,30.57542,6.697006,5.369342,30.42457,6.595085,5.329849,30.47753
5.815505,6.951517,30.53267,6.096502,6.330163,30.55073,6.323302,6.764891,30.47144,5.943674,6.763712,30.60784,6.159645,6.202914,30.56202,6.561279,5.526114,30.40253,6.323302,5.462511,30.47144
5.708506,7.245244,30.52174,5.901547,6.589505,30.51671,6.334784,7.039339,30.44938,5.815601,7.039315,30.58648,5.953904,6.455039,30.51435,5.970824,5.696725,30.32084,6.334784,5.780481,30.44938
5.617591,7.448748,30.46293,5.764894,6.782654,30.48967,5.933939,7.23588,30.40693,5.70735,7.239114,30.54367,5.795747,6.637913,30.49185,5.715454,5.886755,30.3295,5.933939,5.889048,30.40693
5.630241,7.524058,30.4716,5.573448,6.843333,30.48086,5.688829,7.293048,30.40581,5.646058,7.296659,30.54255,5.589615,6.695157,30.47799,5.500164,5.946727,30.33444,5.688829,5.932902,30.40581
5.341564,7.461632,30.4924,5.415082,6.784576,30.45476,5.188463,7.245629,30.41001,5.412725,7.238539,30.54693,5.43866,6.636761,30.4516,5.653736,5.895613,30.29839,5.188463,5.934207,30.41001
5.216601,7.324155,30.41607,5.227901,6.641626,30.4281,4.942579,7.096756,30.35124,5.258596,7.099935,30.48805,5.250864,6.493969,30.43876,5.449312,5.73771,30.29496,4.942579,5.832604,30.35124
5.068161,7.193904,30.30272,5.085624,6.517176,30.3839,5.014498,6.962689,30.26267,5.116575,6.979137,30.39863,5.096466,6.367268,30.3992,4.861563,5.641489,30.25586,5.014498,5.642391,30.26267
4.939466,7.060619,30.27441,4.831202,6.39067,30.34584,4.860855,6.823825,30.23153,4.942647,6.839771,30.36755,4.828601,6.237299,30.3578,4.448523,5.595869,30.26157,4.860855,5.501025,30.23153
4.566814,6.965986,30.30495,4.407856,6.303299,30.35303,4.464769,6.730907,30.25388,4.548553,6.743074,30.39025,4.399516,6.149542,30.35357,3.997803,5.535259,30.24863,4.464769,5.38467,30.25388
3.975083,7.014097,30.41928,3.965808,6.336595,30.34377,3.774771,6.79633,30.32325,4.016969,6.782179,30.45961,3.975587,6.185195,30.33517,4.018213,5.437787,30.21313,3.774771,5.444603,30.32325
3.360134,7.079391,30.37135,3.428532,6.39955,30.3406,3.458918,6.860389,30.29361,3.420481,6.853925,30.43038,3.464222,6.255451,30.34675,3.67592,5.499184,30.19622,3.458918,5.494849,30.29361
2.61046,6.991029,30.24784,2.98345,6.423514,30.32624,3.371384,6.821751,30.2054,2.772385,6.835581,30.34159,3.054733,6.300087,30.33545,3.2598,5.556326,30.1545,3.371384,5.609724,30.2054
2.322292,7.031481,30.24203,2.618279,6.417895,30.29908,3.03231,6.844324,30.19694,2.454891,6.85001,30.33321,2.690229,6.294971,30.3066,3.02346,5.581437,30.15384,3.03231,5.615708,30.19694
2.159739,7.032916,30.36971,2.378042,6.38894,30.30569,2.628082,6.841107,30.28317,2.268749,6.824647,30.41882,2.429546,6.254805,30.29917,2.677242,5.514752,30.13808,2.628082,5.509602,30.28317
2.063488,6.967499,30.33341,2.268972,6.316458,30.33093,2.442966,6.764071,30.26132,2.177128,6.765462,30.39833,2.323517,6.182388,30.32726,2.696524,5.49992,30.17486,2.442966,5.419277,30.26132
1.993526,6.864846,30.27578,2.174295,6.206693,30.30408,2.310574,6.655204,30.21664,2.092684,6.659986,30.35355,2.225792,6.071116,30.31123,2.581726,5.366011,30.16875,2.310574,5.308955,30.21664
1.885916,6.81461,30.21053,2.12249,6.175812,30.24545,2.372503,6.616642,30.1541,2.001503,6.620675,30.29063,2.174959,6.042564,30.25742,2.289349,5.27726,30.10516,2.372503,5.320908,30.1541
1.853642,6.865583,30.14819,2.035158,6.210972,30.21389,2.350248,6.654606,30.10272,1.954639,6.666452,30.23914,2.088425,6.076393,30.22162,2.208847,5.312681,30.10706,2.350248,5.362473,30.10272
1.835491,6.948497,30.1978,1.96887,6.279681,30.22413,2.238731,6.733991,30.14248,1.915421,6.73656,30.2788,2.008083,6.139089,30.224,2.036579,5.37557,30.10826,2.238731,5.407217,30.14248
1.79175,7.069207,30.29545,1.921286,6.401103,30.246,1.946936,6.860752,30.20762,1.878,6.851682,30.34442,1.966627,6.262575,30.24353,2.326077,5.569489,30.11753,1.946936,5.505622,30.20762
1.703922,7.195561,30.25454,1.90333,6.542133,30.25845,1.998842,6.9911,30.18745,1.811951,6.991427,30.32454,1.951424,6.404294,30.25795,2.291672,5.702643,30.11525,1.998842,5.635652,30.18745
1.736319,7.278469,30.19905,1.938908,6.627995,30.23588,2.06325,7.073325,30.14286,1.842047,7.07888,30.27952,1.987225,6.492229,30.24599,2.155392,5.736138,30.08068,2.06325,5.748351,30.14286
1.937222,7.37965,30.18743,1.967943,6.697857,30.21002,2.173553,7.152824,30.12638,1.987627,7.15759,30.26332,1.997829,6.55374,30.21286,1.963175,5.793188,30.07224,2.173553,5.808783,30.12638
1.998146,7.375484,30.19712,2.030348,6.692815,30.21169,2.245029,7.149422,30.13797,2.043743,7.151571,30.27451,2.052837,6.545944,30.20947,1.909578,5.80837,30.0644,2.245029,5.796914,30.13797
1.999117,7.341203,30.23787,2.104555,6.667867,30.21752,2.086731,7.126562,30.15868,2.079807,7.123775,30.29574,2.135555,6.523322,30.21334,2.255354,5.784761,30.08184,2.086731,5.758503,30.15868
2.049463,7.280575,30.18315,2.131954,6.602511,30.20526,2.053436,7.058073,30.12224,2.117567,7.062359,30.25926,2.164591,6.457862,30.20589,2.436386,5.72844,30.08517,2.053436,5.715289,30.12224
