Head x, Head y, Head z, Spine x, Spine y, Spine z, Left Shoulder x, Left Shoulder y, Left Shoulder z, Right Shoulder x, Right Shoulder y, Right Shoulder z, Hips x, Hips y, Hips z, Left Leg x, Right Leg x, Left Leg y, Right Leg y, Left Leg z, Right Leg z
20.56351,10.07397,29.74107,20.55273,9.393425,29.76754,20.70061,9.843637,29.68059,20.602,9.851672,29.81655,20.55698,9.240837,29.77274,20.16031,8.616757,29.64107,20.70061,8.488422,29.68059
20.0365,10.04614,29.69622,20.00075,9.364649,29.72967,20.1211,9.811749,29.64218,20.06166,9.822712,29.77822,20.00681,9.212038,29.731,19.66961,8.548779,29.6126,20.1211,8.453914,29.64218
19.5271,10.12102,29.70117,19.51818,9.439984,29.71344,19.22981,9.892934,29.63905,19.57272,9.896502,29.7761,19.52495,9.287398,29.71376,19.58599,8.521976,29.59633,19.22981,8.599508,29.63905
19.01369,10.01871,29.74483,19.00215,9.335484,29.73022,18.59806,9.792908,29.67642,19.05376,9.788124,29.81344,19.01123,9.18302,29.72945,19.25511,8.449331,29.58836,18.59806,8.568353,29.67642
18.57599,10.23147,29.71836,18.54648,9.548144,29.71864,18.36389,10.00257,29.65172,18.60412,10.00145,29.78849,18.5512,9.395635,29.72549,18.37862,8.662323,29.53186,18.36389,8.666847,29.65172
18.05102,10.20038,29.69826,18.03901,9.519671,29.72289,18.15685,9.970428,29.63805,18.08951,9.977367,29.77418,18.04292,9.367085,29.72839,17.67226,8.72408,29.58885,18.15685,8.610554,29.63805
17.70527,10.13485,29.69736,17.66823,9.45359,29.73184,17.85262,9.899918,29.64256,17.72888,9.911925,29.77826,17.67469,9.301001,29.73349,17.3048,8.659162,29.61136,17.85262,8.553376,29.64256
17.1975,10.38885,29.69707,17.1839,9.707891,29.7153,16.9228,10.15987,29.63644,17.24107,10.16452,29.77344,17.18997,9.555289,29.71729,17.1933,8.78852,29.60077,16.9228,8.855985,29.63644
16.66256,10.06695,29.74272,16.65821,9.384005,29.72798,16.25184,9.841627,29.67482,16.7064,9.83725,29.81185,16.66657,9.231515,29.72569,16.88321,8.491243,29.58367,16.25184,8.616753,29.67482
16.18773,10.08578,29.76235,16.15886,9.401873,29.75819,15.92072,9.857246,29.69299,16.21516,9.854714,29.82985,16.16458,9.249434,29.76582,16.06002,8.498345,29.57083,15.92072,8.541666,29.69299
15.68096,10.10188,29.74575,15.66626,9.420786,29.76902,15.74915,9.871964,29.68593,15.71819,9.877941,29.82221,15.66994,9.268213,29.77504,15.31802,8.612869,29.62607,15.74915,8.508612,29.68593
15.15156,10.0243,29.70836,15.11687,9.343151,29.74239,15.3286,9.789707,29.65252,15.17602,9.801521,29.78806,15.1228,9.190547,29.74464,14.74123,8.555744,29.62162,15.3286,8.449657,29.65252
14.63946,10.12264,29.68757,14.62048,9.441938,29.71125,14.40236,9.892832,29.62865,14.68072,9.898536,29.7656,14.62568,9.289322,29.71433,14.56876,8.526358,29.59924,14.40236,8.57348,29.62865
14.14607,10.0528,29.7169,14.14674,9.370556,29.70419,13.75769,9.827968,29.64979,14.19351,9.824371,29.78685,14.15452,9.218044,29.70136,14.33214,8.469276,29.55654,13.75769,8.589207,29.64979
13.65287,10.12818,29.7139,13.62501,9.443892,29.70736,13.33898,9.899993,29.64327,13.68023,9.896412,29.7802,13.63233,9.291535,29.71524,13.59915,8.529351,29.52008,13.33898,8.607139,29.64327
13.26291,10.18265,29.72292,13.24509,9.501134,29.74469,13.29127,9.952629,29.66328,13.29838,9.95781,29.79966,13.2489,9.348579,29.75109,12.91115,8.684932,29.59401,13.29127,8.587511,29.66328
12.77464,10.29227,29.70955,12.74512,9.610777,29.74251,12.96578,10.05826,29.6525,12.80083,10.06928,29.78799,12.75013,9.458158,29.74576,12.35523,8.831803,29.62297,12.96578,8.720376,29.6525
12.23356,10.22713,29.67776,12.20959,9.54656,29.70551,12.04836,9.996413,29.62052,12.27202,10.00322,29.75738,12.21412,9.393925,29.70868,12.09595,8.640731,29.59343,12.04836,8.659765,29.62052
11.82066,10.16477,29.71228,11.82279,9.483202,29.70352,11.45795,9.939951,29.64601,11.87013,9.937667,29.7831,11.8302,9.330671,29.70072,11.98323,8.577408,29.55649,11.45795,8.684651,29.64601
11.30232,10.18597,29.74431,11.27549,9.501641,29.7364,10.94968,9.958141,29.67348,11.33059,9.953918,29.81046,11.28444,9.349346,29.74377,11.32165,8.583304,29.55332,10.94968,8.688119,29.67348
10.79899,10.11933,29.73528,10.77838,9.437189,29.75476,10.78167,9.889125,29.67554,10.83225,9.893465,29.81202,10.78255,9.284645,29.76119,10.46137,8.612497,29.5946,10.78167,8.524043,29.67554
10.37678,10.08525,29.72706,10.35386,9.403603,29.75872,10.56589,9.851993,29.6685,10.40592,9.862293,29.80404,10.35821,9.250987,29.76295,9.953317,8.631624,29.63953,10.56589,8.511657,29.6685
9.915341,10.43338,29.70414,9.88733,9.752554,29.73498,9.798186,10.20146,29.64843,9.950123,10.20961,29.78514,9.891665,9.599902,29.73759,9.705708,8.86481,29.62212,9.798186,8.848959,29.64843
9.382176,10.36673,29.73455,9.383223,9.685521,29.73111,9.041938,10.14135,29.6694,9.431883,10.14069,29.8065,9.390429,9.532975,29.72861,9.527735,8.776909,29.59103,9.041938,8.872077,29.6694
8.887294,10.03354,29.76551,8.862243,9.349475,29.75597,8.506679,9.806236,29.69531,8.917784,9.801517,29.83232,8.872248,9.197182,29.76189,8.9759,8.43395,29.5822,8.506679,8.554507,29.69531
8.511269,10.24693,29.79294,8.487503,9.564431,29.80862,8.444433,10.01691,29.73284,8.542684,10.02001,29.86941,8.491956,9.411885,29.81479,8.193845,8.728907,29.63688,8.444433,8.654449,29.73284
7.982574,10.23644,29.77576,7.966086,9.555188,29.8057,8.15686,10.0043,29.71596,8.015924,10.0139,29.85162,7.970312,9.402587,29.81054,7.558146,8.789492,29.68484,8.15686,8.658422,29.71596
7.495196,10.20504,29.73097,7.464047,9.523901,29.76346,7.4563,9.972038,29.67633,7.526219,9.981422,29.81284,7.468753,9.371249,29.76537,7.219716,8.660456,29.65056,7.4563,8.610122,29.67633
6.972322,10.20061,29.75004,6.970438,9.519442,29.75201,6.64778,9.974339,29.68608,7.020815,9.97517,29.82318,6.977559,9.366882,29.75017,7.097782,8.607917,29.62187,6.64778,8.695562,29.68608
6.470617,10.02209,29.78242,6.448806,9.338348,29.7711,6.069245,9.795256,29.71291,6.504126,9.790464,29.84993,6.45891,9.185993,29.77485,6.614555,8.429901,29.60677,6.069245,8.558064,29.71291
