Head x, Head y, Head z, Spine x, Spine y, Spine z, Left Shoulder x, Left Shoulder y, Left Shoulder z, Right Shoulder x, Right Shoulder y, Right Shoulder z, Hips x, Hips y, Hips z, Left Leg x, Right Leg x, Left Leg y, Right Leg y, Left Leg z, Right Leg z
19.3741,10.01822,30.2335,19.36174,9.337467,30.26147,19.52814,9.787217,30.17312,19.41093,9.795971,30.30895,19.36601,9.184875,30.26657,18.9576,8.569578,30.13759,19.52814,8.435709,30.17312
18.84015,10.01941,30.18923,18.80619,9.338049,30.22245,18.87816,9.785538,30.13512,18.86762,9.795924,30.27136,18.81165,9.185417,30.22391,18.50765,8.502254,30.10803,18.87816,8.42341,30.13512
18.36335,10.07771,30.18923,18.34802,9.39725,30.20416,18.06245,9.850361,30.12829,18.40433,9.852173,30.26502,18.3514,9.24467,30.21017,18.47433,8.477169,30.09468,18.06245,8.527195,30.12829
17.86845,9.939522,30.2404,17.84385,9.255694,30.21599,17.71173,9.713112,30.17096,17.89036,9.706167,30.30724,17.85513,9.103404,30.21896,18.13874,8.376597,30.0705,17.71173,8.341168,30.17096
17.50885,10.25518,30.23565,17.46497,9.573002,30.23978,17.33953,10.02535,30.17158,17.5328,10.02526,30.30829,17.46544,9.420434,30.24693,17.27465,8.689224,30.0564,17.33953,8.666082,30.17158
16.93833,10.39596,30.21515,16.93788,9.71601,30.24747,17.04877,10.1666,30.15558,16.98274,10.17478,30.29175,16.94303,9.563518,30.25438,16.55107,8.931118,30.12216,17.04877,8.807608,30.15558
16.42528,10.07344,30.17918,16.39632,9.391043,30.21055,16.58258,9.837605,30.13506,16.43681,9.851788,30.26751,16.40992,9.238915,30.21128,15.99362,8.668015,30.08536,16.58258,8.492753,30.13506
16.15255,10.44452,30.20176,16.13763,9.764247,30.22068,15.88749,10.21659,30.1377,16.19913,10.21962,30.27477,16.1415,9.611641,30.22566,16.16018,8.8378,30.10715,15.88749,8.900472,30.1377
15.50202,10.19661,30.24269,15.50187,9.514265,30.21597,15.04391,9.972881,30.17037,15.54968,9.966314,30.30727,15.511,9.361898,30.21056,15.74404,8.628288,30.0638,15.04391,8.796083,30.17037
15.0682,10.10567,30.2457,15.04548,9.421562,30.25086,14.80476,9.877192,30.17645,15.09719,9.874941,30.31337,15.05407,9.269479,30.26204,15.02757,8.501478,30.07036,14.80476,8.571555,30.17645
14.52498,10.02758,30.22944,14.50557,9.347782,30.25887,14.61032,9.797608,30.16761,14.5655,9.804083,30.30426,14.50602,9.195253,30.26681,14.10335,8.565308,30.11636,14.61032,8.444059,30.16761
14.04124,9.968309,30.19096,13.99358,9.287874,30.23369,14.25723,9.732141,30.14325,14.05129,9.746145,30.27585,13.99929,9.135371,30.23989,13.62747,8.496275,30.10695,14.25723,8.428346,30.14325
13.50072,10.05759,30.17477,13.47194,9.378083,30.19394,13.24903,9.828244,30.11138,13.54595,9.832703,30.24833,13.47187,9.225386,30.19735,13.45469,8.456225,30.08212,13.24903,8.49433,30.11138
13.05091,10.05709,30.22063,13.0367,9.373968,30.20495,12.85565,9.830709,30.16055,13.07573,9.826494,30.29546,13.04345,9.221386,30.20621,13.25847,8.473813,30.05427,12.85565,8.459647,30.16055
12.42817,10.15874,30.25495,12.39925,9.474859,30.25104,12.16429,9.930178,30.18574,12.45564,9.927728,30.3226,12.40491,9.322417,30.25863,12.29634,8.57219,30.06363,12.16429,8.613293,30.18574
12.03766,10.02744,30.23873,12.01551,9.347126,30.26298,12.09068,9.796959,30.1766,12.07876,9.80363,30.31347,12.01594,9.194466,30.26778,11.64809,8.542432,30.12814,12.09068,8.435624,30.1766
11.5922,10.26902,30.16571,11.55802,9.587789,30.20916,11.82146,10.03331,30.12487,11.59932,10.04816,30.25378,11.56741,9.435578,30.21765,11.30183,8.744588,30.05318,11.82146,8.72275,30.12487
11.02913,10.28013,30.15252,11.008,9.600581,30.17683,10.7982,10.05081,30.0877,11.08146,10.05614,30.224,11.00934,9.447882,30.1799,10.87783,8.694273,30.06434,10.7982,8.725447,30.0877
10.53144,9.88474,30.19923,10.54263,9.202235,30.17775,10.14668,9.660492,30.13267,10.57658,9.655988,30.2696,10.55524,9.050144,30.17162,10.78411,8.317028,30.02565,10.14668,8.427924,30.13267
10.03078,10.01663,30.21501,9.999763,9.332459,30.21227,9.711721,9.78868,30.14165,10.05916,9.784231,30.27869,10.00725,9.180304,30.22326,10.00746,8.409038,30.03898,9.711721,8.498612,30.14165
