Head x, Head y, Head z, Spine x, Spine y, Spine z, Left Shoulder x, Left Shoulder y, Left Shoulder z, Right Shoulder x, Right Shoulder y, Right Shoulder z, Hips x, Hips y, Hips z, Left Leg x, Right Leg x, Left Leg y, Right Leg y, Left Leg z, Right Leg z
19.91031,9.993084,30.22213,19.85728,9.313379,30.24887,19.94977,9.764112,30.17006,19.93781,9.765851,30.30689,19.85892,9.164292,30.26265,19.54679,8.482192,30.11853,19.94977,8.422489,30.17006
19.74801,9.958231,30.29375,19.64103,9.28297,30.28862,19.77732,9.724707,30.22289,19.75029,9.727551,30.35928,19.65024,9.127587,30.27857,19.35343,8.446558,30.10921,19.77732,8.358166,30.22289
19.40344,10.03353,30.39221,19.46688,9.358023,30.3204,19.35869,9.820824,30.30075,19.4745,9.806362,30.43666,19.48713,9.209858,30.31444,19.48711,8.472119,30.129,19.35869,8.453239,30.30075
19.26907,9.922507,30.38642,19.12977,9.253119,30.34347,18.57659,9.694885,30.30326,19.26117,9.686685,30.44011,19.11305,9.096832,30.33122,19.25392,8.362224,30.11857,18.57659,8.587797,30.30326
18.84689,9.677943,30.33156,18.66343,9.02242,30.3142,18.07934,9.448717,30.27024,18.81463,9.450739,30.4051,18.64584,8.86681,30.33634,18.60094,8.090121,30.19125,18.07934,8.466623,30.27024
18.446,10.06741,30.19278,18.34994,9.405411,30.34686,18.25417,9.825546,30.17795,18.45689,9.854744,30.31158,18.34387,9.252018,30.36483,18.14884,8.500869,30.34142,18.25417,8.498644,30.17795
17.94198,10.08013,30.35054,17.96178,9.402468,30.43116,18.44277,9.848959,30.31236,17.99443,9.864217,30.44861,17.97861,9.252063,30.43509,17.4034,8.82806,30.26317,18.44277,8.641919,30.31236
17.60481,9.966516,30.61734,17.54422,9.302444,30.48762,17.20766,9.755406,30.51477,17.62396,9.729376,30.64872,17.5415,9.148735,30.47493,17.39641,8.47971,30.19738,17.20766,8.457909,30.51477
16.99953,10.09347,30.62712,17.10131,9.414413,30.58562,17.12306,9.875484,30.54595,17.0739,9.866552,30.68259,17.13899,9.269059,30.57212,17.23547,8.531927,30.31875,17.12306,8.494872,30.54595
16.42606,9.921043,30.59035,16.73957,9.317083,30.64905,16.88237,9.734997,30.54104,16.57105,9.747631,30.67756,16.79691,9.186438,30.66434,17.11715,8.472056,30.5439,16.88237,8.443971,30.54104
16.38977,9.835787,30.60903,16.47416,9.163859,30.69483,16.87678,9.612288,30.57917,16.45133,9.626086,30.71505,16.52,9.028278,30.70463,16.63588,8.2965,30.61695,16.87678,8.338255,30.57917
15.96443,9.853499,30.82232,16.27297,9.242332,30.83579,16.73746,9.673628,30.76522,16.0974,9.666115,30.90034,16.33977,9.113773,30.84075,16.61702,8.381486,30.67109,16.73746,8.446914,30.76522
15.95227,9.839255,31.07524,16.17048,9.194324,31.05245,16.43556,9.64345,31.00224,16.07158,9.638478,31.13923,16.2186,9.058432,31.05041,16.31037,8.319884,30.87344,16.43556,8.311236,31.00224
16.00455,9.956678,31.28405,16.06963,9.276519,31.24059,16.20587,9.738005,31.20072,16.06805,9.729492,31.33752,16.11073,9.135571,31.22904,16.28328,8.401251,31.01842,16.20587,8.358504,31.20072
15.91121,9.938748,31.41502,15.97233,9.258451,31.39075,15.80806,9.719042,31.34213,15.96761,9.713275,31.47847,15.99567,9.112056,31.40137,16.17901,8.354632,31.2417,15.80806,8.391263,31.34213
15.95374,9.994746,31.46818,15.9231,9.316216,31.54464,15.96071,9.760389,31.43076,15.98497,9.774749,31.56706,15.93221,9.164848,31.55168,15.66432,8.462075,31.37141,15.96071,8.41777,31.43076
15.81762,9.868415,31.67175,15.65966,9.203085,31.66528,15.75318,9.637375,31.5983,15.80895,9.635962,31.73538,15.643,9.046467,31.66071,15.12185,8.532507,31.54507,15.75318,8.292847,31.5983
15.42555,9.730056,31.83886,15.29709,9.069881,31.74388,15.23537,9.513222,31.74852,15.4221,9.493387,31.88387,15.29051,8.916482,31.73193,14.74672,8.484045,31.55898,15.23537,8.149682,31.74852
