Head x, Head y, Head z, Spine x, Spine y, Spine z, Left Shoulder x, Left Shoulder y, Left Shoulder z, Right Shoulder x, Right Shoulder y, Right Shoulder z, Hips x, Hips y, Hips z, Left Leg x, Right Leg x, Left Leg y, Right Leg y, Left Leg z, Right Leg z
21.0096,7.763012,-9.854373,21.0362,7.082464,-9.843768,21.17752,7.532678,-9.908736,21.08512,7.540731,-9.892929,21.04143,6.929878,-9.848054,20.9099,6.305617,-9.451599,21.17752,6.177512,-9.908736
21.08098,7.208755,-9.295798,21.11471,6.527256,-9.260365,21.28687,6.97435,-9.334196,21.16305,6.985373,-9.321047,21.11609,6.37465,-9.266508,20.99797,5.711588,-8.928962,21.28687,5.616775,-9.334196
21.27149,6.430333,-8.762875,21.28421,5.749299,-8.754432,21.4271,6.202237,-8.810727,21.34654,6.205897,-8.808672,21.28463,5.596719,-8.761314,21.16766,4.831251,-8.822504,21.4271,4.908594,-8.810727
21.55744,5.13654,-8.226718,21.54336,4.453287,-8.21582,21.64112,4.910719,-8.266253,21.62621,4.90604,-8.267028,21.54272,4.300832,-8.22506,21.40199,3.567197,-8.469355,21.64112,3.685807,-8.266253
21.84896,3.667897,-7.70693,21.85016,2.984547,-7.678339,21.96367,3.438962,-7.744801,21.91946,3.438016,-7.735426,21.85712,2.832049,-7.683238,21.66425,2.099173,-7.508861,21.96367,2.102415,-7.744801
22.12747,3.149168,-7.230794,22.15294,2.468479,-7.21985,22.29075,2.919217,-7.284415,22.2036,2.926327,-7.269664,22.15859,2.315904,-7.224008,22.02029,1.672879,-6.85322,22.29075,1.559821,-7.284415
22.38206,3.031051,-6.700421,22.41743,2.349762,-6.664666,22.582,2.796153,-6.739741,22.46334,2.808244,-6.724578,22.41926,2.197185,-6.671361,22.29857,1.552928,-6.304814,22.582,1.449114,-6.739741
22.62791,3.129221,-6.188047,22.64659,2.448254,-6.176195,22.80018,2.900323,-6.23461,22.70444,2.905069,-6.232296,22.64865,2.295667,-6.182624,22.53307,1.528682,-6.192576,22.80018,1.597046,-6.23461
22.90824,3.043149,-5.674335,22.8946,2.360145,-5.670837,22.99795,2.817768,-5.717473,22.97766,2.813578,-5.718423,22.89267,2.207672,-5.679581,22.75178,1.468258,-5.900338,22.99795,1.592221,-5.717473
23.09629,3.08325,-5.17816,23.09376,2.399323,-5.150806,23.20567,2.854642,-5.214018,23.16441,2.852461,-5.206264,23.10158,2.246905,-5.156796,22.90801,1.496609,-5.047373,23.20567,1.536601,-5.214018
23.17662,3.091712,-4.674839,23.20131,2.410663,-4.662141,23.33527,2.861809,-4.726628,23.25341,2.868096,-4.712848,23.20757,2.25811,-4.666232,23.0611,1.602664,-4.31411,23.33527,1.499171,-4.726628
23.16032,3.009648,-4.150426,23.19581,2.32847,-4.117397,23.35566,2.775022,-4.19225,23.24053,2.787087,-4.1755,23.19831,2.175888,-4.123792,23.07706,1.5394,-3.744513,23.35566,1.435374,-4.19225
23.0836,3.101624,-3.668569,23.10834,2.420897,-3.651985,23.27395,2.871878,-3.713717,23.16192,2.877784,-3.710748,23.11166,2.268304,-3.657685,22.99809,1.504476,-3.607455,23.27395,1.553409,-3.713717
23.00391,3.016244,-3.230025,22.99257,2.33393,-3.232429,23.10501,2.791373,-3.277322,23.07425,2.788032,-3.278023,22.99009,2.181438,-3.240701,22.84685,1.433382,-3.422892,23.10501,1.552692,-3.277322
22.83932,3.034472,-2.830606,22.83457,2.350113,-2.804783,22.94467,2.8062,-2.864586,22.90619,2.802996,-2.858773,22.84279,2.197792,-2.812463,22.64942,1.435633,-2.775839,22.94467,1.510831,-2.864586
22.54135,3.0723,-2.488092,22.56486,2.390799,-2.47264,22.6947,2.842294,-2.537388,22.61858,2.847797,-2.524473,22.57161,2.238272,-2.476937,22.41695,1.57349,-2.140519,22.6947,1.47767,-2.537388
22.19788,2.981931,-2.155244,22.2326,2.300436,-2.127889,22.38911,2.747909,-2.199887,22.27686,2.759228,-2.182243,22.2362,2.147843,-2.133435,22.11554,1.519631,-1.740811,22.38911,1.411098,-2.199887
21.84495,3.070289,-1.836392,21.87438,2.389709,-1.814882,22.04989,2.83959,-1.880045,21.92504,2.846708,-1.875798,21.87793,2.237098,-1.819951,21.76477,1.482957,-1.705455,22.04989,1.50317,-1.880045
21.55467,3.017822,-1.525906,21.54762,2.336235,-1.530373,21.66829,2.793004,-1.576141,21.62599,2.791057,-1.57625,21.54519,2.183724,-1.538309,21.40265,1.430664,-1.693956,21.66829,1.536946,-1.576141
21.28469,3.010436,-1.195786,21.27865,2.325994,-1.171289,21.38763,2.782519,-1.228712,21.35139,2.778662,-1.224918,21.28644,2.173748,-1.180724,21.09766,1.407354,-1.217362,21.38763,1.510637,-1.228712
21.02935,3.084333,-0.8391653,21.05074,2.402202,-0.8210754,21.17558,2.854142,-0.8856262,21.10663,2.858826,-0.8734205,21.05757,2.249691,-0.8257707,20.8936,1.576265,-0.506117,21.17558,1.489348,-0.8856262
20.83275,3.003146,-0.4321676,20.86628,2.321502,-0.4115047,21.0207,2.769875,-0.4798636,20.91032,2.780487,-0.4621133,20.87088,2.168915,-0.4164189,20.74977,1.547651,-0.01372573,21.0207,1.430809,-0.4798636
20.7082,3.081309,0.03293153,20.74077,2.400492,0.05835209,20.92183,2.849445,-0.009053964,20.78969,2.857877,-0.002934862,20.7438,2.247864,0.05347783,20.63056,1.510864,0.2340306,20.92183,1.497669,-0.009053964
20.73689,3.069253,0.5328274,20.73484,2.388031,0.529289,20.86117,2.843935,0.48161,20.80927,2.843517,0.4821884,20.73271,2.235506,0.521548,20.59625,1.479722,0.380971,20.86117,1.574587,0.48161
20.85461,3.034377,1.044974,20.84698,2.350184,1.067834,20.95639,2.806968,1.011788,20.9219,2.802624,1.013764,20.85339,2.197944,1.057342,20.67466,1.43424,0.9554014,20.95639,1.553302,1.011788
21.02081,3.12579,1.555111,21.03854,2.443264,1.576314,21.15882,2.895736,1.511112,21.09783,2.89924,1.522712,21.04512,2.290751,1.571354,20.87018,1.60715,1.869253,21.15882,1.533139,1.511112
21.24182,3.068834,2.058515,21.27357,2.387563,2.073105,21.42449,2.836634,2.007347,21.31823,2.846556,2.02462,21.27876,2.234988,2.06838,21.15536,1.61983,2.478288,21.42449,1.492149,2.007347
21.49376,3.101161,2.582502,21.52784,2.420022,2.61123,21.70946,2.868227,2.541937,21.57607,2.877824,2.550384,21.53015,2.26739,2.606085,21.41731,1.553607,2.84863,21.70946,1.507088,2.541937
21.84411,3.158442,3.167237,21.84714,2.477282,3.166689,21.97826,2.932272,3.116593,21.91759,2.93328,3.117792,21.84555,2.324742,3.1591,21.71792,1.566168,3.034801,21.97826,1.653554,3.116593
22.21782,3.045274,3.669183,22.20816,2.361429,3.689338,22.31557,2.818363,3.634573,22.28575,2.813849,3.635167,22.21241,2.209119,3.678756,22.04495,1.452472,3.52461,22.31557,1.579143,3.634573
