Head x, Head y, Head z, Spine x, Spine y, Spine z, Left Shoulder x, Left Shoulder y, Left Shoulder z, Right Shoulder x, Right Shoulder y, Right Shoulder z, Hips x, Hips y, Hips z, Left Leg x, Right Leg x, Left Leg y, Right Leg y, Left Leg z, Right Leg z
23.18281,1.217915,-9.386904,23.18076,1.007855,-10.03923,23.69499,1.183039,-9.613612,23.23924,1.167362,-9.616104,23.18348,0.9742049,-10.18818,22.68734,0.4796736,-10.56515,23.69499,0.5235135,-9.613612
23.26588,1.163764,-9.130535,23.26781,1.051321,-9.806704,23.83577,1.167244,-9.36141,23.32439,1.145274,-9.363543,23.26868,1.045935,-9.959342,22.6911,0.7888649,-10.42366,23.83577,0.7793698,-9.36141
23.33078,1.178033,-9.171703,23.31306,0.9967647,-9.833465,23.9026,1.148763,-9.39836,23.38236,1.132324,-9.402332,23.30902,0.9894678,-9.985972,22.72886,0.7899132,-10.50564,23.9026,0.7838799,-9.39836
23.41982,1.213986,-9.004481,23.3881,0.9784139,-9.648496,23.90446,1.168382,-9.226441,23.46644,1.156049,-9.23339,23.37653,0.9617456,-9.799878,22.95847,0.6547129,-10.41332,23.90446,0.7923945,-9.226441
23.57342,1.197493,-8.85086,23.52045,0.975558,-9.498461,23.96137,1.161574,-9.073813,23.61618,1.141121,-9.080379,23.50881,0.9674346,-9.650536,23.10559,0.7931828,-10.33266,23.96137,0.7914975,-9.073813
23.67711,1.205686,-8.667212,23.63288,0.9792763,-9.31298,23.9958,1.167901,-8.8891,23.71881,1.151882,-8.897622,23.62058,0.9652968,-9.464576,23.34424,0.6341255,-10.11793,23.9958,0.7251393,-8.8891
23.80431,1.179472,-8.520896,23.76583,0.9711788,-9.172647,24.08554,1.149012,-8.74437,23.84676,1.132581,-8.752505,23.7548,0.9560547,-9.324231,23.47656,0.5711882,-9.944047,24.08554,0.6449974,-8.74437
23.94538,1.104385,-8.425,23.91872,0.9920391,-9.100615,24.26024,1.10757,-8.652355,23.99205,1.085672,-8.659955,23.91367,0.9926019,-9.253266,23.57205,0.7825329,-9.943664,24.26024,0.7758552,-8.652355
24.06957,1.08649,-8.314928,24.05669,1.029101,-8.9968,24.39799,1.114558,-8.542218,24.12159,1.093483,-8.549854,24.0521,1.024956,-9.149411,23.68666,0.7779027,-9.818478,24.39799,0.7707003,-8.542218
24.18401,1.128403,-8.19376,24.19146,1.058336,-8.874593,24.56138,1.152828,-8.424241,24.24579,1.133211,-8.426896,24.18994,1.045836,-9.026809,23.78785,0.770978,-9.667695,24.56138,0.7667814,-8.424241
24.2664,1.197306,-8.086046,24.31334,1.063918,-8.759483,24.72138,1.182276,-8.32374,24.35529,1.168259,-8.309035,24.31153,1.053485,-8.911852,23.85027,0.7588003,-9.504632,24.72138,0.7631831,-8.32374
24.42177,1.167351,-7.985855,24.38085,1.028374,-8.65691,24.86695,1.122032,-8.20282,24.45365,1.15601,-8.225227,24.37115,1.024715,-8.809294,23.90648,0.7808723,-9.429987,24.86695,0.7635189,-8.20282
24.45344,1.224295,-7.898608,24.45837,1.028367,-8.557426,24.99266,1.1751,-8.124447,24.51454,1.19581,-8.130738,24.45236,1.011771,-8.709139,23.9826,0.7864114,-9.336269,24.99266,0.7664748,-8.124447
24.523,1.230198,-7.794188,24.51444,1.001544,-8.440951,25.05632,1.179098,-8.016935,24.57739,1.192002,-8.026563,24.51194,0.9767103,-8.591634,24.06519,0.7901577,-9.248055,25.05632,0.7766559,-8.016935
24.55717,1.22757,-7.679395,24.53842,0.9988679,-8.325025,25.06477,1.186537,-7.903798,24.61135,1.187231,-7.911318,24.53455,0.97381,-8.475641,24.11453,0.7879869,-9.147251,25.06477,0.7818166,-7.903798
24.57116,1.19156,-7.536692,24.54391,0.9633821,-8.182826,25.0483,1.157526,-7.764382,24.62835,1.132432,-7.763072,24.54176,0.9465272,-8.334614,24.16824,0.7885369,-9.032853,25.0483,0.7851479,-7.764382
24.52129,1.167747,-7.386666,24.49158,0.9735786,-8.042397,24.96729,1.142925,-7.612449,24.57005,1.125482,-7.618088,24.49173,0.9620522,-8.194696,24.16437,0.77779,-8.907234,24.96729,0.7774294,-7.612449
