Head x, Head y, Head z, Spine x, Spine y, Spine z, Left Shoulder x, Left Shoulder y, Left Shoulder z, Right Shoulder x, Right Shoulder y, Right Shoulder z, Hips x, Hips y, Hips z, Left Leg x, Right Leg x, Left Leg y, Right Leg y, Left Leg z, Right Leg z
23.13505,2.337268,-9.520249,23.21472,1.992445,-10.11987,23.67723,2.249953,-9.75997,23.2125,2.249299,-9.734375,23.20746,1.944191,-10.27861,22.69479,1.494992,-10.73271,23.67723,1.457889,-9.75997
23.21622,1.054956,-9.445213,23.25784,1.423852,-10.01542,23.85107,1.23301,-9.599624,23.32226,1.229316,-9.599981,23.26073,1.456764,-10.15128,22.67161,1.233038,-10.66495,23.85107,1.398077,-9.599624
23.29506,1.472151,-9.500512,23.3963,1.16378,-10.10173,23.98458,1.403765,-9.728716,23.39827,1.409348,-9.708954,23.38829,1.124974,-10.25386,22.80945,0.794876,-10.73418,23.98458,0.8232545,-9.728716
23.44676,1.21958,-9.333221,23.48218,1.026102,-9.989905,24.00315,1.201349,-9.569916,23.53139,1.185842,-9.557882,23.47215,1.014948,-10.14145,22.9877,0.8285263,-10.76914,24.00315,0.8231386,-9.569916
23.51067,1.013377,-9.230132,23.57137,0.9140931,-9.904608,24.05035,1.025129,-9.468022,23.59991,1.021869,-9.454993,23.55633,0.9266252,-10.05322,23.10543,0.8559138,-10.72635,24.05035,0.8564376,-9.468022
23.52657,1.049912,-9.144001,23.58874,0.9552127,-9.819549,24.01075,1.06374,-9.382771,23.61532,1.057889,-9.368622,23.5787,0.9648328,-9.969272,23.28044,0.8417088,-10.69782,24.01075,0.838829,-9.382771
23.50875,1.155919,-9.169138,23.64131,1.028365,-9.828217,24.00721,1.156821,-9.409855,23.62382,1.153881,-9.382657,23.63749,1.03108,-9.978732,23.4132,0.8195815,-10.70035,24.00721,0.8137787,-9.409855
23.63155,1.197657,-9.220402,23.76106,1.108289,-9.88608,24.1087,1.213376,-9.46066,23.74533,1.209032,-9.43421,23.76031,1.105663,-10.03657,23.52593,0.791586,-10.71588,24.1087,0.7837955,-9.46066
23.89297,1.20483,-9.319341,23.96286,1.181054,-9.998449,24.24815,1.240164,-9.553384,23.98524,1.240781,-9.53963,23.9587,1.177402,-10.14648,23.61647,0.7610391,-10.7209,24.24815,0.7498813,-9.553384
24.13245,1.218629,-9.409717,24.1393,1.23456,-10.09253,24.39728,1.276336,-9.636315,24.20689,1.2605,-9.634992,24.13083,1.226705,-10.23925,23.7227,0.7461495,-10.70679,24.39728,0.7322159,-9.636315
24.16393,1.316374,-9.456023,24.24418,1.248008,-10.13099,24.59058,1.341481,-9.692701,24.26275,1.333285,-9.67605,24.23986,1.229963,-10.27856,23.82223,0.7456808,-10.70981,24.59058,0.7487537,-9.692701
24.27503,1.268314,-9.402411,24.36815,1.186129,-10.07406,24.87275,1.291297,-9.640462,24.37856,1.278142,-9.62018,24.36897,1.170551,-10.22293,23.87679,0.7630574,-10.7059,24.87275,0.7576913,-9.640462
24.41396,1.277997,-9.347103,24.47967,1.110404,-10.00593,25.05138,1.26971,-9.585405,24.50438,1.262308,-9.569007,24.47661,1.088942,-10.15533,23.93358,0.7991052,-10.69136,25.05138,0.7932246,-9.585405
24.45661,1.209292,-9.257965,24.52075,1.018275,-9.910871,25.0892,1.191679,-9.495277,24.5485,1.189058,-9.481166,24.51953,1.003973,-10.06176,24.00109,0.8316513,-10.67475,25.0892,0.825223,-9.495277
24.39001,1.201371,-9.193617,24.48973,0.9999827,-9.839713,25.04786,1.178253,-9.433688,24.49101,1.176065,-9.411255,24.48798,0.986514,-9.992157,24.04542,0.8337219,-10.6622,25.04786,0.8296738,-9.433688
24.27365,1.121729,-9.118118,24.40844,0.9627273,-9.769826,24.95438,1.11211,-9.358609,24.39041,1.108786,-9.330594,24.41138,0.9557759,-9.920671,24.0718,0.8435109,-10.64618,24.95438,0.8414031,-9.358609
24.22987,1.066143,-9.064629,24.34105,0.9613872,-9.732512,24.87926,1.075109,-9.305912,24.33575,1.069624,-9.282134,24.34645,0.9597174,-9.882543,24.04939,0.8393489,-10.62252,24.87926,0.8336953,-9.305912
24.21703,1.101343,-9.077933,24.31744,1.025118,-9.750813,24.77596,1.123939,-9.317194,24.32268,1.111218,-9.295685,24.32313,1.02422,-9.899582,24.01502,0.8127639,-10.60991,24.77596,0.809132,-9.317194
24.28901,1.245217,-9.162066,24.3076,1.146432,-9.839063,24.68918,1.259171,-9.396608,24.366,1.248148,-9.390926,24.30725,1.134871,-9.987898,23.92707,0.7704502,-10.58862,24.68918,0.7607993,-9.396608
24.21559,1.312165,-9.313665,24.26404,1.239442,-9.990637,24.59867,1.33472,-9.547795,24.30366,1.327687,-9.537618,24.26622,1.223394,-10.13894,23.8272,0.7506058,-10.58581,24.59867,0.7287207,-9.547795
24.06437,1.235595,-9.355635,24.13814,1.248226,-10.03478,24.49227,1.292459,-9.587154,24.16263,1.274722,-9.572954,24.14563,1.237501,-10.18147,23.7019,0.7548953,-10.59799,24.49227,0.7269396,-9.587154
23.921,1.199399,-9.369802,23.99736,1.248336,-10.04625,24.36893,1.269325,-9.598011,24.01778,1.25357,-9.583496,24.00476,1.237606,-10.19295,23.56547,0.7541234,-10.6027,24.36893,0.7347065,-9.598011
23.78545,1.249509,-9.36136,23.84679,1.232021,-10.04124,24.23724,1.292108,-9.59447,23.87634,1.282694,-9.581734,23.84981,1.216057,-10.18929,23.41393,0.7501237,-10.61504,24.23724,0.7362614,-9.59447
23.66603,1.194882,-9.263923,23.72475,1.15212,-9.943463,24.23099,1.227951,-9.49898,23.75506,1.22257,-9.486625,23.72538,1.141509,-10.09183,23.22621,0.7546443,-10.59011,24.23099,0.7510095,-9.49898
23.54836,1.238292,-9.27912,23.64438,1.121076,-9.944557,24.21894,1.248379,-9.51822,23.6507,1.240252,-9.496964,23.6438,1.103972,-10.095,23.08638,0.7742593,-10.58569,24.21894,0.7649872,-9.51822
23.37943,1.19389,-9.163304,23.4856,1.021799,-9.816435,24.04893,1.179646,-9.402977,23.4841,1.179635,-9.380925,23.48126,1.011397,-9.967606,22.96732,0.8180654,-10.57349,24.04893,0.817482,-9.402977
23.20771,1.047385,-9.028316,23.30238,0.9295321,-9.69539,23.84624,1.053831,-9.269554,23.30456,1.05377,-9.249135,23.2939,0.9385527,-9.846479,22.87378,0.8415841,-10.53473,23.84624,0.8395673,-9.269554
23.00252,1.016549,-8.935704,23.10933,0.9213604,-9.604986,23.623,1.029825,-9.175644,23.10871,1.026515,-9.153849,23.10711,0.9328281,-9.754061,22.81083,0.8447654,-10.49182,23.623,0.8414463,-9.175644
22.86678,1.097801,-8.935522,22.99193,0.9855959,-9.599317,23.39466,1.104413,-9.176957,22.97788,1.100523,-9.150788,22.9879,0.9913378,-9.749956,22.76125,0.822395,-10.4855,23.39466,0.81753,-9.176957
22.83919,1.162039,-8.998272,22.95543,1.067544,-9.665387,23.3048,1.176808,-9.237481,22.95055,1.170585,-9.213788,22.95176,1.067341,-9.815225,22.70541,0.7953883,-10.5087,23.3048,0.7883412,-9.237481
22.97259,1.220907,-9.078888,23.00729,1.152302,-9.758129,23.29339,1.24229,-9.312762,23.05397,1.238555,-9.305399,22.99949,1.146216,-9.906927,22.66396,0.7673606,-10.51327,23.29339,0.7547101,-9.312762
23.07038,1.188412,-9.175707,23.08237,1.206037,-9.858514,23.32369,1.243778,-9.40273,23.14546,1.23346,-9.400419,23.07119,1.200869,-10.0054,22.66083,0.7472744,-10.50106,23.32369,0.7334474,-9.40273
23.04209,1.27641,-9.24839,23.11006,1.247672,-9.927094,23.38528,1.319249,-9.482253,23.13796,1.303671,-9.468106,23.10489,1.234523,-10.07455,22.69384,0.7407482,-10.50608,23.38528,0.7336819,-9.482253
23.0619,1.316291,-9.237042,23.17296,1.221737,-9.904812,23.63461,1.332113,-9.476591,23.16984,1.323952,-9.45301,23.17487,1.201819,-10.05348,22.72418,0.7461604,-10.52188,23.63461,0.7492874,-9.476591
23.23804,1.228724,-9.144562,23.3194,1.129953,-9.814722,23.873,1.2466,-9.381653,23.33925,1.237371,-9.364555,23.31969,1.115795,-9.962899,22.79157,0.790581,-10.48602,23.873,0.7773916,-9.381653
23.39942,1.25709,-9.106006,23.4517,1.075697,-9.762568,24.01191,1.243362,-9.342633,23.4873,1.235484,-9.329228,23.44602,1.055863,-9.913367,22.89731,0.8158737,-10.47353,24.01191,0.8078085,-9.342633
23.45057,1.215242,-9.025597,23.55114,0.9966608,-9.66532,24.11064,1.184459,-9.263543,23.55286,1.185719,-9.242429,23.54979,0.9823727,-9.816742,23.05841,0.8400788,-10.45854,24.11064,0.8391509,-9.263543
23.46828,1.173779,-8.954099,23.59521,0.997051,-9.602725,24.13697,1.158892,-9.194962,23.5808,1.155409,-9.167641,23.59477,0.9851633,-9.754834,23.20784,0.8365066,-10.45366,24.13697,0.8332835,-9.194962
23.55177,1.10754,-8.878887,23.65695,0.958645,-9.538995,24.20764,1.101154,-9.120026,23.65517,1.097394,-9.097034,23.66047,0.9545535,-9.689845,23.35359,0.8473769,-10.42867,24.20764,0.8442292,-9.120026
23.636,1.096383,-8.858598,23.78303,0.9917832,-9.519395,24.28283,1.105917,-9.100456,23.75505,1.098928,-9.069594,23.79099,0.99063,-9.669192,23.51787,0.8359615,-10.4088,24.28283,0.8324071,-9.100456
23.86144,1.179988,-8.901483,23.94651,1.098023,-9.575816,24.37569,1.200687,-9.14032,23.96186,1.188416,-9.121749,23.95273,1.092375,-9.72466,23.64791,0.7966634,-10.40015,24.37569,0.789661,-9.14032
24.1239,1.319602,-9.033125,24.15189,1.218088,-9.708742,24.49862,1.331763,-9.267766,24.20373,1.32385,-9.260736,24.15179,1.200353,-9.857577,23.75651,0.7572336,-10.38755,24.49862,0.7424566,-9.267766
24.23911,1.298491,-9.143888,24.29412,1.262997,-9.823497,24.62387,1.339648,-9.377384,24.33106,1.321555,-9.36547,24.30046,1.251816,-9.971538,23.86015,0.7660589,-10.39142,24.62387,0.734551,-9.377384
24.27759,1.20853,-9.154172,24.35335,1.256985,-9.831178,24.71253,1.276695,-9.382605,24.37517,1.263338,-9.368504,24.36103,1.247195,-9.977535,23.93288,0.7600912,-10.3948,24.71253,0.7409196,-9.382605
